_id,singkat,hasil
1058,jutek,"menyebalkan, judes, galak, emosian, dan sombong"
1059,k3,kakak
1060,Ka urang,ke saya
1061,kabbulamma,sialan
1062,kacang,cuek
1063,kacangin,didiemin
1064,kacci,busuk
1065,Kace,kakak
1066,kacrut,berantakan
1067,kacung,pembantu
1068,kadaluwarsa,kelewat batas
1069,kagol,kecewa
1070,kajol,terlambat
1071,kakuati,kesal
1072,kakutaku,kepengen cepet kaya kuda tapi tenaga lambat kaya kura-kura
1073,kalap,lupa diri
1074,kalem,tenang
1075,kalempong,alat kelamin pria
1076,kaleng kaleng,tidak bisa dianggap remeh
1077,kalong,kacamata bolong
1078,kaluman,kurang ajar
1079,kame,gak penting
1080,kamek,cantik
1081,kampang,hina
1082,kampay,kampung payah
1083,Kampring,kampring= kampung tanah kering
1084,kamseupay,kampungan
1085,kamsia,terima kasih
1086,kamsud,maksud
1087,kamsute,maksudnya
1088,kamyu,kamu
1089,kane,enak
1090,kane lop,enak banget
1091,kanker,kantong kering
1092,kanua,kamu
1093,kapal oleng,pengaruh meminum minuman keras
1094,kapela,kaga perawan lagi
1095,kapok,penyakit telinga
1096,kapol,bodoh
1097,kapsibok,bapak
1098,Kapsinyok,ibu
1099,karbala,pembuat masalah
1100,karisma,kangen rindu setengah mati
1101,karon,norak
1102,karwek,tidak bisa dinasehati
1103,kasep,ganteng
1104,kaskuser,pengguna kaskus
1105,kate,pendek
1106,Katek,tidak ada
1107,katrok,orang kampung
1108,kb,karaoke bersama
1109,ke eu,gaya sembrono
1110,kece,cakep
1111,Kecebadai,keren banget
1112,kecele,kecewa
1113,keci,kepanjangan
1114,kecipak kecipuk,mandi
1115,kecok,keju coklat
1116,kecu,kacau
1117,kecubu,kangen berat dan sebel yang sepaket
1118,kecut,tidak enak
1119,kedan,teman
1120,kedingdongan,kedinginan
1121,keenger,pegal-pegal
1122,keep lause,santai
1123,kehed,sialan
1124,kejarlah matahari,kabur
1125,kekeran,cowok yang di taksir
1126,kelams,kelamaan
1127,kelar,selesai
1128,keles,berangkali
1129,keleus,kali
1130,kemaki,sombong
1131,kemal,ingin tahu banget
1132,kemalan cocot,cerewet sekali
1133,kemaruk,serakah
1134,kemenyek,sok pinter
1135,kemex,makan
1136,kemi,sok tahu
1137,kemin,umpat
1138,Keminthi,menyebalkan
1139,kemoker soker,kemarin sore
1140,kempas,celana dalam
1141,kempet,lontaran kekesalan seseorang
1142,kempi,kampungan
1143,kemplo,bodoh
1144,kentir,orang gila
1145,kenyung,jawaban salah
1146,kepetan,buang air di celana
1147,kepincut,jatuh cinta
1148,keplak,menggunakan tangan
1149,Keplarak,terpeleset
1150,keplek,otak yang pas-pasan
1151,kepo,mengetahui setiap objek tertentu
1152,Keponyet,hewan yang berjalan lambat.
1153,Kere,miskin
1154,keren,kere tulen
1155,kero,mata juling
1156,kerok,biang masalah
1157,kesayangan,kesayangan
1158,keseuh,ketiak basah
1159,kesong,belok
1160,ketai,kaya tahi
1161,keteng,satuan
1162,ketengan,pengganggu
1163,ketibam,ketiak bau asam
1164,Ketongkok,ketahuan
1165,ketumbaran,ketemuan
1166,kewec,wanita
1167,kewl,keren
1168,khepa,bagaimana
1169,ki joko bodo,om-om gondrong
1170,kibin,membuat lintingan ganja
1171,kicep,diam
1172,kid car,anak mobil
1173,kiheng,malu
1174,kijang super,lelaki jangkung sungguh perkasa
1175,kijil,genit
1176,kikuk kikuk,fun aja
1177,kimcil,kelamin wanita
1178,kimpet,alat kelamin wanita
1179,kimpoi,nikah
1180,kimpoy,bercinta
1181,Kimpun,pelit
1182,kipak,bohong
1183,kipat,kampret
1184,kiput,takut
1185,klinong kinong,jalan-jalan
1186,kobam,mabok
1187,kobap,ayah
1188,kobas,pura pura
1189,kober,buang air besar
1190,Kodep,depan
1191,kodim,hubungan diam-diam
1192,kodomo,kompor doang modalnya
1193,koit,mati
1194,kojel,jelek
1195,kokas,kota kasablanka
1196,kokopong,pikiran porno
1197,kokor,rokok
1198,kolek,minta
1199,kolekan,patungan
1200,koleng,orang mabuk
1201,koli,kolor hijau
1202,kolot,tua
1203,kolpis,kolak pisang
1204,Kolu,rokok
1205,kolup,lupa
1206,Komar,tua di kamar
1207,Kombe,baiklah
1208,Komeng,komentar
1209,Kompek,plastik kresek
1210,Kompi,komputer
1211,kompie,komputer
1212,komuk,muka
1213,konang,bohong
1214,kongeklampung,merubah orang
1215,kongkong,anjing
1216,kongkow,nongkrong
1217,konkong,patungan
1218,konsultan,konsultan
1219,kontemvorer,kontemporer
1220,kool,koalitas orang lowclass
1221,kopaja,kos para janda
1222,kopas,copy paste
1223,kopasus,kopi pake susu
1224,kopdar,"kopi darat, ketemuan"
1225,koper,korban perasaan
1226,koplak,bodoh
1227,Kopler,idiot
1228,Koplok,bodoh
1229,kopong,lemes
1230,kopyor,bodoh
1231,kordes,orang desa
1232,kores,rusuh
1233,kos,tempat tinggal mahasiswa
1234,kotaro,korek tanpa rokok
1235,kowawa,ekspresi senang
1236,kown,kamu
1237,kowu,mesin uap
1238,koz,karena
1239,kpk,kelompok pengumpul kardus
1240,krank,kurang
1241,kreakmedan,sombong
1242,krenz,keren
1243,krib,jika kita ribut
1244,krik,gak lucu banget
1245,Kripik,kritik
1246,kriuk,tidak lucu
1247,kroasia,kelompok orang sialan
1248,kroco,pegawai rendahan
1249,kronis,sudah tidak tertolong lagi
1250,Krossing Crossing,sakit perut
1251,ks,kerjasama
1252,ksbb,teringat masa lalu
1253,ksp,kritik saran dan pertanyaan
1254,kt,kategori terbatas
1255,kuali,memasak bebek angsa
1256,kuatkeun,menguatkan
1257,kucluk kucluk,datang mendadak
1258,kudet,kurang mutakhir
1259,kukang,orang lamban
1260,kuker,kurang kerjaan
1261,kukil,kukang cokil
1262,kuku bima,kurang kuat bini marah
1263,Kuli Design,seorang designer
1264,kulkas,panel kontrol
1265,kultwit,kuliah twitter
1266,kumaha,bagaimana
1267,kumehong,bagaimana
1268,kumsi,terserah kamu
1269,kunaha,kenapa
1270,kuper,kurang pergaulan
1271,kupret,kutu
1272,kura kura ijo,orang hitam kurus berbulu banyak
1273,kurang piknik,kurang kerjaan
1274,kurleb,kurang lebih
1275,Kutilang,kurus tinggi langsing
1276,Kutip,kumis tipis
1277,kuy,ayo
1278,Kuya,Ejekan terhadap seseorang
1279,kw,barang tiruan
1280,kzl,kesel
1281,l8r,later
1282,labil,ragu-ragu
1283,ladem,dalem
1284,ladur,lelaki durhaka
1285,lag,macet-macet
1286,lahacia,rahasia
1287,lahunga,tidak sengaja
1288,lais,sial
1289,laknat,terkutuk
1290,lakor,suami orang
1291,lambe,lambat
1292,lambreta,lambat
1293,lambreta lamborjina,buat orang yang selalu lama
1294,lambreta lamborjini,lamban
1295,lamongan,lama
1296,lamreta,lama
1297,lancita,lancang
1298,lango,tentara
1299,lapa,lagi ngapain
1300,Lapak,tempat berjualan
1301,lapan,delapan
1302,lapangan bola,lapar
1303,lappy,laptop
1304,laruku,kependekan dari band terkenal jepang
1305,lasut,sial
1306,Lateung,tidak tepat pendiriannya
1307,lau,kamu
1308,ldr,hubungan jarak jauh
1309,Leaver,meninggalkan
1310,lebay,berlebihan
1311,lebeh,berlebihan
1312,ledom,model
1313,lefo,terlambat informasi
1314,legit,original
1315,lehur,mantab
1316,lek lek,anak muda
1317,lekong,banci kaleng
1318,lelet,malas
1319,lelli,lelah sekali
1320,Lemeng,pencuri
1321,lemme,biarkan aku
1322,lemski,lambat
1323,lenci,centil
1324,lender,ingus kental
1325,lengdem,pilih acak
1326,lengib,lapar
1327,lenjeh,ganjen
1328,leparoke,lewat pantai perasaan oke
1329,lepra,laper
1330,Leraoke,Lewat pantai perasaan oke
1331,lerbi,kepanjangan dari luar biasa
1332,letoy,lemah gemulai
1333,libas,pukul
1334,licong,tidak jelas
1335,lina,lincah dan nakal
1336,lincung,kotoran ayam
1337,lipi,lembaga intrik & pengembangan issue
1338,lkmd,lamar keri meteng disik
1339,lks,lembar kerja siswa
1340,lmao,tertawa ass saya off
1341,lmkwr,bilang kalau sudah siap
1342,lms,suka status saya
1343,lo,kamu
1344,lo gw end,putus hubungan
1345,Lodoh,tolol dan bodoh
1346,lodom,ingin buang air besar
1347,loe gue end,muak
1348,lohan,jenong
1349,lokit,lihat
1350,lokur,luar
1351,lol,tertawa terbahak-bahak
1352,lola,kelamaan
1353,lolijk,tertawa keras
1354,loljk,tertawa terbahak-bahak hanya bercanda
1355,lolot,tolol
1356,lope lope,cinta cinta
1357,lopo,tidak penting
1358,loyal,setia
1359,lugu,lutung gunung
1360,lume,lama
1361,lumon,ludah monyet
1362,luncang,lucu
1363,Lunyu,Licin
1364,luping,lupa-lupa ingat
1365,lupus,lupakan pacaran utamakan sekolah
1366,lutu,lucu
1367,luus,pelan
1368,lysm,cinta sekali
1369,ma em,makan
1370,maaciw,terima kasih
1371,mabal,kabur
1372,mabar,mabok
1373,mablank,mabok banget
1374,mablu,suka mabok
1375,mabora,mabok
1376,macama,sama-sama
1377,macan,manis dan cantik
1378,macapah,sama siapa
1379,mace,ibu
1380,machimaro,terima kasih
1381,macu,manja dan lucu
1382,Mad,saudara
1383,madatan,rakus lagi pelit
1384,madefak,bajingan
1385,madirabit,kurang ajar
1386,madok,mencuri barang kepunyaan orang lain
1387,madol,bolos sekolah
1388,madu,mantan dukun
1389,maduma,makan duduk mabuk
1390,mafhum,paham
1391,mager,males gerak.
1392,maho,manusia homo
1393,mainstream,style
1394,mak,teman akrab
1395,mak jang,kaget
1396,makarena,makan
1397,makmu,ibumu
1398,maksi,makan siang
1399,maksing,makan siang
1400,malay,malas
1401,malbang,males banget
1402,malesin,malas
1403,mamake,ibu ku
1404,mambar,makan bareng
1405,mamel,apek
1406,mana kenek dirik,terserah kamu lah
1407,mancai,santai
1408,mancal,mengayuh sepeda
1409,Mancik,tikus
1410,mandala,mandi
1411,mandi,manis dingin
1412,mangat,semangat
1413,mangkring,makan
1414,Mans,mana?
1415,mansay,mantan tersayang
1416,manuk,kemaluan laki
1417,Manyau,jalan-jalan kesekitaran tetangga
1418,manyuk,nyamuk
1419,mapet,mabok pete
1420,Marantau,meninggalkan tanah kelahiran
1421,marasit,numpang sama orang lain
1422,marit,malas ribet
1423,markipul,mari kita pulang
1424,markitpul,ayu kita pulang
1425,markus,makelar kasus
1426,Marlong,palsu
1427,Marmos,bikin marah
1428,masbayu,masalah buat kamu
1429,masbuge,masalah buat gue
1430,masbulo,masalah buat kamu
1431,masbutu,masalah buat kamu
1432,mata tih,masa sih
1433,Matamu,Mengumpat yang menitikan pada penglihatan orang
1434,matgay,mati gaya
1435,matius,mati misterius
1436,Mato,kampungan
1437,matot,mati total
1438,matut,pernyataan kesal
1439,mauneh,manusia udik dan aneh
1440,Mawambo,tolol
1441,mawar,mau
1442,Mawut,hancur
1443,mayos,jamur
1444,mb3k,maaf baru bales
1445,mba yayu,ayo
1446,mbah jiman,bajingan
1447,mbambes,wajah kucel karena belum mandi
1448,mbambleh,orang yang terbelakang
1449,mbarong,makan terus
1450,mbb,maaf baru balas
1451,mbbc,diam jangan berisik
1452,mbc,tv korea selatan
1453,Mbdc,malesbanget!dotcom
1454,mbdcious,pembaca setia mbdc website humor
1455,mblendes,tidak jelas
1456,Mbok,pembantu perempuan
1457,mbuh,masa bodoh
1458,mdikipe,melamar wanita
1459,meang,malu
1460,meetup,bertemu
1461,mehong,mahal
1462,mejeng,muncul
1463,mejo,ngambek
1464,melalak,suka keluyuran
1465,melas,kasihan
1466,mele,sama aja kayak dulu
1467,meledug,meledak
1468,melenyun,merokok
1469,melow,lembut
1470,membahana,mempesona
1471,meme,pesan lucu
1472,memes,memang
1473,memperpostel,memperbaiki posisi telor
1474,mencla mencle,tidak jelas
1475,mencray,mencret
1476,mencret,mencret
1477,Mendusin,terjaga ketika kita sedang tertidur
1478,meneketehe,mana kutahu
1479,menel,anak kuda
1480,meng,takjub
1481,mengkek,manja
1482,mengkol,berbelok
1483,mengoy,bego
1484,menong,mana
1485,mensana incorpore sano,kamu ke sana aku ke sini
1486,mentesek,"orangnya elek, sombong, sok gtttt!!"
1487,menye menye,sedih
1488,meonger,penggemar kucing
1489,meper,usap sesuatu ke baju orang lain
1490,merakbai,hancur total
1491,merakbal,hancur total
1492,meriang,merindukan kasih sayang
1493,merkengkong,serba salah
1494,merki,pelit
1495,Metd,selamat
1496,meteor,mulutnya
1497,metong,mati
1498,Metyaw,selamat ya
1499,Mewek,nangis
1500,mi telor ganjen,group meteor garden
1501,miamu,demi kamu
1502,miapah,demi apah
1503,midang,jalan-jalan di hari lebaran
1504,Miha,males banget ngomong
1505,mihaw,bercinta
1506,mikocok,microsoft
1507,milad,hari lahir
1508,mimik,minum
1509,minak jinggo,miring enak nungging monggo
1510,minang,pandai bersilat lidah
1511,mindo,makan lagi
1512,minikitihik,mana ku tahu
1513,minsky,admin
1514,minyak,diperhatikan terus
1515,minyak nyongnyong,minyak untuk badan yang biasanya super bau
1516,miras,minuman keras
1517,misuh,rasa kesal
1518,mitap,ketemuan
1519,mjb,mau ikut bareng
1520,mkdk,mencari kesempatan dalam kesempitan
1521,mkkb,masa kecil kurang bahagia
1522,mobilgenik,keren banget
1523,modom,istirahat
1524,modus,modal dusta
1525,moge,motor gede
1526,mokak,berbohong
1527,mokat,meninggal
1528,moli,mau lihat
1529,momod,seorang moderator
1530,Monang,mau nangis
1531,monitoring,cari perhatian
1532,monok,copet
1533,monza,pakaian bekas murah
1534,mood booster,melakukan sesuatu sebagai pendongkrak hati
1535,moody,sifat labil
1536,move on,melupakan
1537,moyung,tak guna
1538,mpo,menarik perhatian orang
1539,msg,main aman goblok
1540,Mtac,mau tahu saja
1541,mucay,payah
1542,mud,obat penenang
1543,mue liiye,muka gila
1544,muke,bodo amat
1545,Muke gyle,ungkapan ketika kaget atau kesal
1546,mupeng,muka ingin
1547,mursida,murah banget
1548,musang,muka ingin bercinta
1549,mustang,muslimah tangguh
1550,mutapet tapet,muka tampang ngepet
1551,mutel,muka telor
1552,muzzy,pusing
1553,mwh,kecupan sayang
1554,Nabec,sepuluh ribu
1555,nabule,ejekan
1556,nagras,sifat bagi orang yang tidak tahu aturan
1557,nahwu,suatu cabang ilmu yang membahas tentang tata bahasa arab
1558,nais,cakep
1559,naisab,obat terlarang
1560,naisy,belahan jiwaku
1561,najong,najis
1562,nak,ingin
1563,nakam,makan
1564,namec,jahat
1565,nanak,celana
1566,nangapang,kenapa
1567,nangkel,nangis kelek
1568,nangte,tenang
1569,narai,apa
1570,Narkoba,nasi goreng rokok bakwan
1571,narkotika,negara akan runtuh kalau orang tidak ingat kepada allah
1572,narsis,bangga diri
1573,nasi sher,informasi bagus
1574,nasi tempong,nasi tempong
1575,naskleng,bangsat
1576,nato,tanpa aksi bicara saja
1577,nawak,kawan
1578,nax,anak
1579,nayamul,lumayan
1580,nb,catatan tambahan
1581,Ndableg,bandel
1582,ndasmu,kepalamu
1583,ndipik,bohong
1584,ndramus,genit
1585,ndul,botak
1586,neber,benar
1587,necis,rapih
1588,nethink,negative thinking
1589,neting,pikiran jelek
1590,netting,berpikir negatif
1591,newbi,orang baru
1592,newbie,anak baru
1593,Ngablo,mabok
1594,ngag ngog,bodoh
1595,ngajedog,diam
1596,ngalam,malang
1597,ngalu,pusing
1598,Ngalus,sedang naksir
1599,ngambek,marah
1600,ngambis,niat
1601,ngandang,kembali lagi ke tempat asal
1602,ngapluk,banyak omong
1603,ngaprak,cari masalah
1604,ngarep,mengharap
1605,ngaret,melar dari waktu jadwal rencana yg sudah ditentukan
1606,ngaso,istrirahat
1607,nge jom,sudah tua
1608,ngebamen,tidak sabar menghadapi sesuatu
1609,ngebres,tidak beres
1610,ngeceng,kumpul bareng
1611,ngecewes,bicara tanpa bukti
1612,ngedo,anef
1613,ngedrop,memburuk
1614,ngefek,tidak berpengaruh
1615,ngegos,membicarakan berita tanpa fakta
1616,ngehang,berteman
1617,Ngehe,kondisi paling hancur
1618,ngehek,memaki
1619,ngehong,tidak nyaman
1620,ngejom,tua
1621,ngelaba,tebar pesona
1622,ngeles,alasan
1623,Ngembat,Mengambil barang seseorang
1624,ngemeng,ngomong
1625,ngemic,ganja
1626,ngene,nyela tanpa ampun tanpa rasa kasihan
1627,ngengkol,meminta
1628,Ngentis,berhubungan intim
1629,ngepet,hewan gaib yang kerjaannya nyari duit
1630,Ngepot,belok dengan sudut tajam
1631,ngeps,babi
1632,ngestalk,ingin tahu
1633,ngetem,berhenti
1634,nggambleh,ngomong kosong
1635,nggambus,nge-betein
1636,nggawing,cerewet sekali
1637,nggonduk,sok cakep
1638,ngibing,goyang
1639,Ngicik,gowes
1640,ngising,boker
1641,ngobras,berbicara
1642,ngodew,bicara sendiri
1643,Ngomporin,manas-manasin
1644,ngomul,ngomong mulu
1645,ngondek,bertingkah kemayu
1646,ngondoy,bergelantungan
1647,ngops,minum kopi
1648,ngotak,mikir
1649,ngrembol,hidup nekat
1650,ngroweng,ngelabrak
1651,nian,sangat
1652,nibla,jatuh
1653,nich,nih
1654,nidji,biji
1655,nifatul,tindakan sesat fikir
1656,nihil,kosong
1657,nilep,mencuri
1658,njedot,kepala kebentur
1659,njing,anjing
1660,njir,anjing
1661,njuk,terus
1662,noanuk,kunaon
1663,nobasilo,norak banget sih kamu
1664,node,kampungan
1665,nokacang,tidak banyak bicara
1666,nokib,minum
1667,nongkil,nongkrong kilat
1668,nongs,kumpul
1669,nope,tidak
1670,norbek,norak tapi beken
1671,nowe,duduk di toilet
1672,ntky,senang
1673,Nubi,gelar bagi seseorang yang baru bergabung
1674,nulad,ikut-ikut
1675,numus,tawuran
1676,nunun,lupa
1677,nurdin,turun
1678,nyabak,banyak
1679,nyabu,makan bubur
1680,nyaman,enak
1681,nyanda,tidak
1682,nyante,santai
1683,nyaru,samar
1684,nyebahi,merasa kesal
1685,nyebai,menyebalkan
1686,nyebong,kumpul-kumpul
1687,nyelemoh,beda
1688,Nyeleneh,asal-asalan
1689,nyemeloh,beda dari yang lain
1690,nyemok,merokok
1691,nyemot,monyet
1692,nyendok,pengendara roda dua yang menggunakan lampu projector
1693,nyenyong nyenyong,menyanyi
1694,nyepik,ngomong doang
1695,Nyerepet,doyan make cocaine
1696,Nyesek,tertekan
1697,nyetok,menyimpan
1698,nyevil,sewa villa
1699,nyimak,memperhatikan
1700,nyinyir,suka mengkritik
1701,nyobis,sebel
1702,nyocot,banyak omong tidak ada hasil
1703,nyokap,ibu
1704,nyoke,ngomong
1705,nyomay,makan somay
1706,nyomi nyomi,enak banget
1707,nyonyek,aneh banget luh
1708,o aja,oh aja ya
1709,Oajaya,Oh saja ya
1710,oazaya,tidak mau tahu
1711,obed,lucu bikin sebal
1712,Obled,bodoh
1713,ocoy,bagus
1714,odolo,bodoh sekali
1715,ogoh,bodoh
1716,ogut,saya
1717,oh gitu hehe,jawaban tidak penting
1718,ojir,uang
1719,ojob,sama
1720,Okem,orang kampung
1721,oker,rokok
1722,ol,online
1723,omdo,ngomong doang
1724,omg,ya tuhan
1725,omgwtfbbq,oh my god apa ffu barbekyu
1726,omisako,orang miskin sok kaya
1727,oncom,bodoh
1728,oneng,bloon
1729,ongbak,pukulan menggunakan siku
1730,oot,diluar topik
1731,oppai,dada
1732,oprek,memperbaiki
1733,opus,ogah pusing
1734,ora nggadeg,tidak selaras
1735,Ordadut,tidak punya duit
1736,oretz,baik
1737,orpheus,keren
1738,orz,rasa kecewa yang mendalam
1739,osis,orang sinting ingin sukses
1740,Otaku,mencintai dunia anime
1741,otewe,sedang dalam perjalanan
1742,otp,one true pairing
1743,otre,oke
1744,otw,dalam perjalanan
1745,oyey,unik juga sih
1746,oyi sam,iya
1747,pa,pendek akal
1748,pabo,pabo
1749,pabu,anjing
1750,pace,ayah
1751,pace deh,ungkapan kekesalan
1752,pacedeh,tidak punya harapan
1753,pacet,cepat
1754,pacope,pencuri
1755,pades,sedap
1756,pait pahit,takut lebah
1757,Paja,dia
1758,pak u,bercinta
1759,pakar,ahli
1760,Pakcoy,panggilan teman dekat
1761,pakdul,pakai dulu
1762,paks,bekas
1763,palbis,paling bisa
1764,palupi,lupa
1765,pambes,cewek yang sok gaya
1766,pamer dada,padat merayap tersendat-sendat
1767,pamer gigi,padat merayap gila-gilaan
1768,pamer jempol,padat merayap terjebak macet di pintu tol
1769,pamer paha,padat merayap tanpa harapan
1770,pamer paha diranjang,padat merayap tanpa harapan di dalam antrian panjang
1771,pamer pantat,padat merayap panjang antrian merapat
1772,pamer penis,padat merayap pengen nangis
1773,pamer susu,padat merayap susul-menyusul
1774,panamas,papa naik mama senang
1775,panasbung,pasukan nasi bungkus
1776,panasonic,panas banget
1777,panastak,pasukan nasi kotak
1778,pance,panjang cerita
1779,panci,panda cina
1780,panjar,balapan
1781,panorama,pemandangan
1782,pantai kapuk,tempat tidur
1783,paper,panas
1784,papuy,kepala pusing
1785,parisdrakar,paras manis dada rada mekar
1786,parlin,parah
1787,Patillo,pencuri
1788,Patok,alat kemaluan wanita
1789,payo,keras kepala
1790,pbj,pajak baru jadian
1791,pdkt,pendekatan
1792,pea,bodoh
1793,peang,kepala benjol
1794,pecah,heboh
1795,Pecahbako,menirukan perilaku buruk
1796,pecun,pelacur
1797,pedak,jelek
1798,pedoko,marah
1799,pedot,pusing
1800,pejabat,keturunan jawa batak
1801,pejwan,halaman pertama
1802,pekok,gila
1803,Pekostel,penghuni kos teladan
1804,peleh,konyol
1805,pelita,pelit
1806,peluru,lintingan ganja
1807,pembalap,pembalut
1808,pemburak,suka bohong
1809,penger,orang setengah gila
1810,pengin,ingin
1811,penguk,bau badan
1812,penjing,ditunda
1813,pensil,pendek skill
1814,penyet,hancur
1815,pepsi,pengen peluk situ
1816,peres,komentar pertama
1817,peribahas,bahasa baku
1818,pertamax,komentar pertama
1819,perucha,perut
1820,pet cang tai,lelah
1821,pete pete,patungan
1822,petok,suara ayam
1823,petrus,penembak misterius
1824,pewe,posisi wenak
1825,peyek,mengejek
1826,pgps,pintar goblog penghasilan sama
1827,phi,pokoknya senang aja
1828,pho,penggangu hubungan orang
1829,php,pemberi harapan palsu
1830,pibo,mau buang air besar
1831,Picek,buta
1832,piece of cake,gampang
1833,pil,pria idaman lain
1834,Pilat,suatu hinaan
1835,piling dos,silahkan
1836,pilon,bego
1837,pim,pondok indah mall
1838,plagiat,tiruan
1839,Plaut,bego
1840,plin plan,ganti-ganti keinginan
1841,pling dos,tolong variasi
1842,plongo,tidak konek
1843,Plung bgt,paling lucu dan unik banget
1844,Pm,pesan pribadi
1845,pmdk,pedekate mulu dapat kagak
1846,pms,pedihnya menjadi selingkuhanmu
1847,poak,banyak gaya
1848,Pocu,poni
1849,pogo pogo,loncat-loncat
1850,Pokay,payah
1851,Pokemon,polisi
1852,pokis,pisau
1853,polandia,polos aneh di idami waria
1854,pole,polisi
1855,polepel,selamanya
1856,pongoro,gila
1857,poooll,sangat
1858,pop,pemberi kata palsu
1859,popcorn,orang lebih muda
1860,poskul,pulang sekolah
1861,potele,pelacur
1862,pottele,pelacur
1863,pp,gambar diri
1864,prada,perawan daerah
1865,prancis,preman-preman nakal dan necis
1866,prasmul,perasaan terus
1867,prend,teman
1868,prewong,perempuan
1869,prikitiew,ciyee
1870,prikitiu,tertangkap basah melakukan perselingkuhan
1871,primus,pria musholla
1872,Pro,mahir
1873,procie,proccesor
1874,prokem,lelaki bebas
1875,proker,program kerja
1876,prospek,oke
1877,psp,pembuat status palsu
1878,pspb,pren sama pren berantem
1879,pu,pajak ulang tahun
1880,pubbb,buang air besar
1881,puk puk,menepuk
1882,pukpuk,kasihan
1883,pundung,marah
1884,pupa,sayang
1885,puspa,pusing kepala
1886,putaso,pucuk taik sendiri
1887,putu,anak pertama
1888,pw,posisi enak
1889,pye tro,gimana bro
1890,pyong pyong,babi panggang khas karo
1891,qaqa,kakak
1892,qiu qiu,kartu jitak
1893,quqanying,ekspresi kaget.
1894,quwanying,ekspresi kaget
1895,rabung,bau pesing
1896,rakab,bakar
1897,ramijut,hancur total
1898,ramlan,ramai lancar
1899,ramsi,rambut
1900,rangkasanmu,mulut
1901,ratna,rata dengan tanah
1902,rebek,ribet banget
1903,Rebes,beres
1904,rebung,bau pesing
1905,recet,ribet
1906,regal,remaja bimbang
1907,rejak,pulang
1908,rekber,rekening bersama
1909,rekob,boker = buang air besar
1910,rela,rame lancar
1911,relat,relationship
1912,rempong,ribet
1913,Repak,hancur lebur
1914,repsol,repost atau posting thread yg berulang
1915,resap,seru
1916,rese,menyebalkan
1917,rhs,rahasia
1918,ribay,ribet
1919,rider,rider
1920,rikiplik,kuno
1921,rimbii,ribet
1922,rimbil,sukar
1923,rina,rintihan nikmat
1924,ripap,kertas rokok
1925,ripper,penipu
1926,robusta,kotoran
1927,rofl,berguling di lantai tertawa
1928,rokar,rokok
1929,Roker,rombongan kereta
1930,rokes,ribut atau heboh
1931,roket,rokok
1932,roki,rokok
1933,roks,rokok
1934,rokums,rumah
1935,romania,rombongan manusia betina
1936,rombu,tidak rapi
1937,romuse,rombongan muka setan
1938,rossa,tega
1939,rss,rumah sempit sekali
1940,rudit,tidur
1941,rumpi,bercakap
1942,rusia,kurusan dan lanjut usia
1943,S2b,Susah senang bersama
1944,s3,setor seminggu sekali
1945,sabeb,sebab
1946,sabi,bisa
1947,sabi cuy,bisa
1948,sabian,basian
1949,sabilika,bisa kaliiiii
1950,sacilat,penjahat
1951,sahal,kotor
1952,sahan,bapak
1953,saik,asik
1954,saiko,gila
1955,saipul,sayang pulsa
1956,saisuak,sudah tua sekali
1957,sakaw,sakit karna engkau
1958,sake,sari ketek
1959,Salken,Salam kenal
1960,salting,salah tingkah
1961,samawa,sakinah mawadah warohmah
1962,sambangin,bertamu
1963,sambatan,kerja bakti
1964,sampurasun,permisi
1965,samuk,masuk
1966,sanguan,menyepelekan
1967,Santi,santai
1968,Sarap,bodoh
1969,sarno edi,sarafnya kena gilanya makin jadi
1970,sars,sakit akibat rasa suka
1971,saru,tidak pantas
1972,sas,sangat asik sekali
1973,sasek,sesat
1974,satnight,malam minggu
1975,sawa,benar
1976,sayur,lembek
1977,sbb,maaf baru bales
1978,sbc,maaf kirim semua
1979,sbsc,sok baik sok cantik
1980,Sebabut,ambil sebatang rokok
1981,sebastian,sebatas teman tanpa kepastian?
1982,sebelas dua belas,mirip
1983,seblu,mabuk
1984,secara,adalah
1985,segede gambreng,sesuatu yang besar sekali
1986,segede goblok,saking besarnya
1987,Seica,selfie / foto diri sendiri
1988,sejokut,uang sejuta
1989,sekatekate,asal bicara
1990,sekel,berisi
1991,sekelak,sebentar
1992,sekem,tertipu
1993,Sektor,wilayah
1994,sekur,satpam
1995,sekwilda,sekitar wilayah dada
1996,selaw,santai saja
1997,selon,santai
1998,seloo,sedikit
1999,selow,santai
2000,semak,tidak suka
2001,semangka jamur,semangat kaka jangan mundur
2002,sembleng,tidak jelas
2003,sembol,sempak bolong
2004,semerlap,kurang ajar
2005,semex,wanita nakal
2006,semlohai,seksi
2007,semlohe,seksi
2008,semok,montok
2009,sempal,ungkapan kekesalan
2010,sempoa,alat kuno untuk berhitung
2011,semprul,tidak bermutu
2012,sendokur,saudara
2013,senga,sombong
2014,Sengene,orang yang suka nyuruh-nyuruh
2015,senget,gila
2016,sengkleh,rusak
2017,senio,tidak sabar
2018,senior,senang istri orang
2019,seno,senang nongkrong
2020,sensoy,kondisi lagi sensitif
2021,separatus,sepatu
2022,sepatram,sepatu
2023,sepis,santai
2024,sepokat,sepatu
2025,sepotaker,sepotong taik kering
2026,serpik,bagi bagi foto
2027,serpool,server penuh
2028,setor,buang air besar
2029,Setumat,sebentar
2030,sewewew,kurang kerjaan
2031,sfl,maaf terlambat membalas
2032,sgb,maaf tidak dibalas
